X,Y,id,left,top,right,bottom,row_index,col_index,fid,VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE
120.22283773353,23.0128839763883,157183,169759.826434867,2546421.02934436,170914.526973246,2545421.02934436,384,279,471,"67000340001",臺南市,北區,開元里,Kaiyuan Vil.,D,"67000",D04,"67000340",
120.206100144554,22.9857105349716,156062,168027.775627298,2543421.02934436,169182.476165677,2542421.02934436,387,277,474,"67000370007",臺南市,中西區,郡王里,Junwang Vil.,D,"67000",D08,"67000370",
120.20625835062,22.9586208419303,156065,168027.775627298,2540421.02934436,169182.476165677,2539421.02934436,390,277,477,"67000330023",臺南市,南區,大恩里,Da'en Vil.,D,"67000",D02,"67000330",
120.206311032763,22.949590923465,156066,168027.775627298,2539421.02934436,169182.476165677,2538421.02934436,391,277,477,"67000330023",臺南市,南區,大恩里,Da'en Vil.,D,"67000",D02,"67000330",
120.214676919278,22.9631778424609,156627,168893.801031082,2540921.02934436,170048.501569462,2539921.02934436,390,278,477,"67000330023",臺南市,南區,大恩里,Da'en Vil.,D,"67000",D02,"67000330",
120.214729054233,22.9541479108088,156628,168893.801031082,2539921.02934436,170048.501569462,2538921.02934436,391,278,477,"67000330023",臺南市,南區,大恩里,Da'en Vil.,D,"67000",D02,"67000330",
120.214781162875,22.9451179687705,156629,168893.801031082,2538921.02934436,170048.501569462,2537921.02934436,392,278,477,"67000330023",臺南市,南區,大恩里,Da'en Vil.,D,"67000",D02,"67000330",
120.180679578941,22.9991262878089,154375,165429.699415945,2544921.02934436,166584.399954324,2543921.02934436,386,274,478,"67000370033",臺南市,中西區,西湖里,Xihu Vil.,D,"67000",D08,"67000370",
120.172204961065,23.0035972616794,153812,164563.67401216,2545421.02934436,165718.374550539,2544421.02934436,385,273,480,"67000370034",臺南市,中西區,西賢里,Xixian Vil.,D,"67000",D08,"67000370",
120.155310295361,23.0035080504726,152688,162831.623204591,2545421.02934436,163986.323742971,2544421.02934436,385,271,483,"67000360017",臺南市,安平區,王城里,Wangcheng Vil.,D,"67000",D07,"67000360",
120.163785433169,22.9990379968285,153251,163697.648608376,2544921.02934436,164852.349146755,2543921.02934436,386,272,484,"67000360016",臺南市,安平區,天妃里,Tianfei Vil.,D,"67000",D07,"67000360",
120.289901631507,23.1125309726148,161668,176688.029665142,2557421.02934436,177842.730203522,2556421.02934436,373,287,489,"67000190004",臺南市,善化區,文昌里,Wenchang Vil.,D,"67000",D27,"67000190",
120.28980659281,23.1305907748283,161666,176688.029665142,2559421.02934436,177842.730203522,2558421.02934436,371,287,489,"67000190004",臺南市,善化區,文昌里,Wenchang Vil.,D,"67000",D27,"67000190",
120.29837949104,23.1080538273607,162231,177554.055068927,2556921.02934436,178708.755607306,2555921.02934436,374,288,489,"67000190004",臺南市,善化區,文昌里,Wenchang Vil.,D,"67000",D27,"67000190",
120.289854124108,23.121560878934,161667,176688.029665142,2558421.02934436,177842.730203522,2557421.02934436,372,287,489,"67000190004",臺南市,善化區,文昌里,Wenchang Vil.,D,"67000",D27,"67000190",
120.298332560953,23.117083755343,162230,177554.055068927,2557921.02934436,178708.755607306,2556921.02934436,373,288,490,"67000190002",臺南市,善化區,坐駕里,Zuojia Vil.,D,"67000",D27,"67000190",
120.298285607254,23.1261136729042,162229,177554.055068927,2558921.02934436,178708.755607306,2557921.02934436,372,288,490,"67000190002",臺南市,善化區,坐駕里,Zuojia Vil.,D,"67000",D27,"67000190",
120.2395312166,23.0490856254267,158303,171491.877242436,2550421.02934436,172646.577780815,2549421.02934436,380,281,491,"67000310029",臺南市,永康區,塩洲里,Yanzhou Vil.,D,"67000",D39,"67000310",
120.231106532096,23.044529826731,157742,170625.851838651,2549921.02934436,171780.55237703,2548921.02934436,381,280,491,"67000310029",臺南市,永康區,塩洲里,Yanzhou Vil.,D,"67000",D39,"67000310",
120.120287316402,23.1929449145585,150419,159367.521589454,2566421.02934436,160522.222127833,2565421.02934436,364,267,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.08070586279,23.2056238518994,147608,155037.394570531,2567921.02934436,156192.095108911,2566921.02934436,363,262,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.078936395597,23.1967444302465,147609,155037.394570531,2566921.02934436,156192.095108911,2565921.02934436,364,262,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.086389797168,23.2017814833519,148170,155903.419974316,2567421.02934436,157058.120512695,2566421.02934436,363,263,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.094879769308,23.1973156954593,148733,156769.4453781,2566921.02934436,157924.145916479,2565921.02934436,364,264,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.111798419665,23.1974121109159,149857,158501.496185669,2566921.02934436,159656.196724048,2565921.02934436,364,266,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.073164796245,23.1910975246064,147047,154171.369166747,2566421.02934436,155326.069705126,2565421.02934436,364,261,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.078023117552,23.1881881195987,147610,155037.394570531,2565921.02934436,156192.095108911,2564921.02934436,365,262,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.086451151841,23.1927521254734,148171,155903.419974316,2566421.02934436,157058.120512695,2565421.02934436,364,263,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.10336918878,23.1928494291646,149295,157635.470781885,2566421.02934436,158790.171320264,2565421.02934436,364,265,492,"67000160017",臺南市,將軍區,鯤鯓里,Kunshen Vil.,D,"67000",D23,"67000160",
120.138358376674,23.0124467392347,151563,161099.572397022,2546421.02934436,162254.272935402,2545421.02934436,384,269,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
120.138415790526,23.0034171605496,151564,161099.572397022,2545421.02934436,162254.272935402,2544421.02934436,385,269,493,"67000350036",臺南市,安南區,四草里,Sicao Vil.,D,"67000",D06,"67000350",
